                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5129,                 3.9866,                 2.6453,                0.00148,                0.02143,                0.00126,                0.00033,                 3.1442,                 3.8757,                 1.9378,                  5e-05,                  5e-05,                  5e-05
                      2,                 3.3274,                 3.9391,                 2.5491,                0.00321,                0.05238,                0.00817,                0.00221,                 2.8948,                 3.8286,                 1.8518,             0.00011101,             0.00011101,             0.00011101
                      3,                 2.5926,                 3.6548,                 1.9097,                0.01042,                   0.15,                0.02612,                0.00838,                 2.6266,                 3.5909,                 1.5661,             0.00017038,             0.00017038,             0.00017038
                      4,                 2.0562,                 3.1093,                 1.5482,                0.01118,                0.15714,                0.05117,                0.02622,                 2.2188,                 3.4531,                 1.4662,             0.00022809,             0.00022809,             0.00022809
                      5,                 1.8433,                  2.809,                 1.4391,                0.51665,                0.18095,                0.07096,                0.03296,                 2.0141,                 3.2519,                 1.4584,             0.00028416,             0.00028416,             0.00028416
                      6,                 1.7757,                 2.4471,                 1.4169,                0.88043,                0.08312,                0.09383,                0.05123,                 1.9674,                 3.0724,                 1.4542,             0.00033858,             0.00033858,             0.00033858
                      7,                 1.6618,                   2.15,                 1.3853,                0.89791,                0.10476,                0.11018,                 0.0666,                 1.8813,                 2.7807,                 1.4204,             0.00039134,             0.00039134,             0.00039134
                      8,                 1.6039,                 1.9484,                 1.3688,                0.91277,                0.10714,                0.13816,                0.08391,                 1.7278,                  2.602,                 1.3918,             0.00044245,             0.00044245,             0.00044245
                      9,                 1.5349,                 1.7784,                 1.3073,                0.85746,                0.11429,                0.27916,                0.13571,                 1.8004,                 2.4943,                 1.3856,             0.00049192,             0.00049192,             0.00049192
                     10,                 1.4611,                  1.653,                 1.2382,                0.89857,                0.12381,                0.34026,                0.20211,                 1.6703,                 2.2162,                  1.273,             0.00053974,             0.00053974,             0.00053974
                     11,                 1.4812,                 1.5473,                 1.2762,                0.92983,                0.11595,                 0.4228,                0.24444,                 1.6479,                 2.1749,                 1.3216,              0.0005859,              0.0005859,              0.0005859
                     12,                 1.4032,                 1.4836,                 1.2387,                0.80172,                0.21942,                0.48817,                0.28312,                 1.5855,                 2.1711,                 1.2379,             0.00063041,             0.00063041,             0.00063041
                     13,                 1.3636,                  1.396,                 1.2097,                0.83032,                0.19189,                0.47249,                0.27441,                 1.6435,                  2.211,                  1.267,             0.00067328,             0.00067328,             0.00067328
                     14,                 1.3057,                 1.3812,                 1.1915,                0.86216,                0.16066,                0.55806,                0.30154,                 1.7228,                 2.2707,                 1.2743,             0.00071449,             0.00071449,             0.00071449
                     15,                 1.3163,                 1.3567,                 1.1926,                0.72107,                0.25278,                0.55109,                0.27785,                 1.7147,                 2.1612,                 1.3308,             0.00075406,             0.00075406,             0.00075406
                     16,                 1.2543,                  1.313,                 1.1934,                0.69354,                0.28166,                0.59599,                0.31159,                 1.6224,                 2.0803,                 1.2727,             0.00079198,             0.00079198,             0.00079198
                     17,                 1.3381,                  1.309,                 1.1798,                0.68099,                0.37138,                0.63037,                0.34573,                 1.5316,                 1.9862,                 1.2079,             0.00082824,             0.00082824,             0.00082824
                     18,                  1.257,                 1.2567,                 1.1811,                0.61268,                0.27948,                0.57354,                0.31295,                  1.476,                  1.961,                 1.1931,             0.00086285,             0.00086285,             0.00086285
                     19,                 1.2938,                 1.2842,                 1.1786,                0.71605,                0.24546,                0.57648,                0.32306,                 1.4069,                 1.9616,                 1.1971,             0.00089582,             0.00089582,             0.00089582
                     20,                 1.2427,                  1.266,                 1.1662,                0.87253,                0.28857,                0.68103,                0.37088,                 1.4064,                 1.9527,                 1.1836,             0.00092713,             0.00092713,             0.00092713
                     21,                 1.1857,                 1.1847,                  1.135,                0.83664,                0.30644,                0.65035,                0.36085,                 1.4445,                 1.9446,                 1.1877,                0.00092,                0.00092,                0.00092
                     22,                 1.2058,                 1.2209,                  1.132,                0.79269,                0.34635,                0.61677,                0.33648,                 1.4621,                 1.8759,                 1.2028,              0.0009035,              0.0009035,              0.0009035
                     23,                 1.1047,                 1.1296,                 1.1009,                 0.7473,                0.45014,                0.64826,                0.37012,                 1.4347,                 1.6817,                 1.1951,               0.000887,               0.000887,               0.000887
                     24,                 1.2108,                   1.21,                  1.134,                0.68004,                0.57563,                0.68163,                0.38817,                 1.4078,                  1.538,                 1.1966,              0.0008705,              0.0008705,              0.0008705
                     25,                 1.1776,                  1.165,                 1.1331,                0.68808,                0.60091,                0.67838,                0.39222,                 1.4052,                 1.4984,                 1.1859,               0.000854,               0.000854,               0.000854
                     26,                 1.0864,                 1.1058,                 1.1138,                 0.6902,                0.64966,                0.70087,                0.43951,                 1.3254,                 1.3942,                 1.1311,              0.0008375,              0.0008375,              0.0008375
                     27,                 1.1478,                 1.1114,                 1.1102,                0.71683,                0.63077,                 0.7106,                0.44714,                 1.3309,                 1.3222,                 1.1293,               0.000821,               0.000821,               0.000821
                     28,                 1.1432,                 1.1188,                 1.0964,                0.71532,                0.63022,                0.70318,                 0.4207,                 1.3014,                 1.3163,                 1.1173,              0.0008045,              0.0008045,              0.0008045
                     29,                 1.1004,                 1.0793,                 1.1027,                0.73324,                0.59158,                0.69992,                0.43165,                 1.2742,                 1.2838,                 1.1036,               0.000788,               0.000788,               0.000788
                     30,                 1.0535,                 1.0669,                 1.0864,                0.76955,                0.71478,                0.75816,                0.48418,                 1.1966,                 1.1688,                 1.0809,              0.0007715,              0.0007715,              0.0007715
                     31,                 1.0457,                 1.0898,                 1.0847,                0.79704,                0.69113,                 0.7533,                0.48557,                  1.212,                 1.1417,                 1.0781,               0.000755,               0.000755,               0.000755
                     32,                0.98912,                 1.0278,                   1.05,                0.83579,                0.62974,                0.71519,                0.45995,                 1.2641,                 1.2152,                 1.1376,              0.0007385,              0.0007385,              0.0007385
                     33,                0.99094,                  1.009,                 1.0667,                0.78182,                0.63881,                0.69244,                0.42558,                 1.3867,                 1.2476,                 1.2005,               0.000722,               0.000722,               0.000722
                     34,                0.94584,                  0.974,                 1.0399,                0.71175,                0.64938,                0.68029,                0.42465,                 1.4342,                 1.2763,                 1.2212,              0.0007055,              0.0007055,              0.0007055
                     35,                 1.0711,                 1.0221,                 1.0614,                0.75411,                0.66747,                0.71792,                0.46509,                  1.269,                 1.1518,                 1.1264,               0.000689,               0.000689,               0.000689
                     36,                0.97217,                0.95593,                 1.0589,                0.75367,                0.72013,                0.75653,                0.47393,                 1.2818,                 1.1519,                 1.1097,              0.0006725,              0.0006725,              0.0006725
                     37,                 0.9833,                 0.9764,                  1.058,                 0.7915,                0.72254,                0.76477,                0.48472,                 1.2336,                 1.1147,                 1.0989,               0.000656,               0.000656,               0.000656
                     38,                 1.0108,                0.95862,                 1.0597,                0.81376,                0.73632,                0.77946,                0.49459,                 1.2477,                 1.0572,                 1.1044,              0.0006395,              0.0006395,              0.0006395
                     39,                0.97415,                0.93145,                 1.0261,                0.83541,                0.72998,                0.78821,                0.49636,                 1.2524,                 1.0161,                   1.11,               0.000623,               0.000623,               0.000623
                     40,                0.97978,                 1.0009,                 1.0422,                0.80018,                0.74215,                0.77196,                0.49536,                 1.1922,                 1.0301,                 1.0968,              0.0006065,              0.0006065,              0.0006065
                     41,                0.95373,                 0.9252,                  1.008,                 0.7908,                0.74044,                0.76821,                0.48707,                 1.2139,                 1.0369,                 1.1169,                0.00059,                0.00059,                0.00059
                     42,                0.96441,                 0.9286,                 1.0249,                0.81314,                0.73386,                 0.7745,                0.48302,                 1.2368,                 1.0128,                 1.1364,              0.0005735,              0.0005735,              0.0005735
                     43,                0.96591,                0.94141,                  1.055,                 0.8078,                0.74286,                 0.7701,                0.47349,                 1.2503,                0.99105,                 1.1516,               0.000557,               0.000557,               0.000557
                     44,                0.92532,                0.89189,                0.99322,                0.81501,                 0.7217,                0.76157,                0.48978,                  1.237,                0.96499,                 1.1574,              0.0005405,              0.0005405,              0.0005405
                     45,                0.86678,                0.85781,                  1.011,                0.79075,                0.72762,                0.75644,                0.49028,                 1.2548,                0.98492,                 1.1584,               0.000524,               0.000524,               0.000524
                     46,                0.92355,                0.89727,                 1.0046,                 0.8538,                0.68509,                 0.7593,                0.49418,                  1.259,                 1.0398,                 1.1463,              0.0005075,              0.0005075,              0.0005075
                     47,                0.93776,                0.87358,                 1.0135,                0.78379,                0.72297,                0.76296,                 0.4969,                  1.245,                  1.061,                 1.1386,               0.000491,               0.000491,               0.000491
                     48,                 0.8815,                0.86401,                 1.0046,                0.84434,                0.71097,                0.78744,                0.52295,                 1.1482,                 1.0137,                 1.1012,              0.0004745,              0.0004745,              0.0004745
                     49,                0.86149,                0.86716,                 1.0056,                0.81572,                0.75762,                0.79328,                0.52331,                 1.1349,                 1.0151,                 1.0905,               0.000458,               0.000458,               0.000458
                     50,                0.89728,                 0.8684,                0.97891,                0.81831,                 0.7492,                0.78984,                0.52867,                 1.0996,                0.99322,                 1.0824,              0.0004415,              0.0004415,              0.0004415
                     51,                  0.885,                0.84913,                 1.0029,                0.80107,                0.74458,                0.79217,                0.53436,                 1.0853,                0.97926,                 1.0792,               0.000425,               0.000425,               0.000425
                     52,                0.89057,                0.86699,                0.99835,                0.81677,                0.73691,                0.80182,                0.53854,                 1.1046,                0.96009,                 1.0651,              0.0004085,              0.0004085,              0.0004085
                     53,                0.86884,                0.81784,                0.98282,                0.83138,                0.74921,                0.80581,                 0.5448,                 1.1172,                0.95849,                 1.0604,               0.000392,               0.000392,               0.000392
                     54,                0.86332,                0.81299,                 1.0019,                0.83137,                0.73223,                0.80896,                0.54531,                 1.1143,                 0.9277,                  1.058,              0.0003755,              0.0003755,              0.0003755
                     55,                0.84776,                0.82798,                0.99371,                0.84368,                0.74901,                0.81007,                0.54331,                 1.1153,                0.90595,                 1.0553,               0.000359,               0.000359,               0.000359
                     56,                0.85708,                0.83644,                 1.0006,                0.89582,                0.71395,                0.80368,                0.53887,                 1.1199,                0.90277,                 1.0615,              0.0003425,              0.0003425,              0.0003425
                     57,                 0.8405,                0.81552,                0.98647,                0.87929,                0.72193,                0.80557,                0.53797,                 1.1336,                0.89587,                 1.0654,               0.000326,               0.000326,               0.000326
                     58,                0.84604,                0.85607,                0.97956,                0.87771,                0.71898,                0.80467,                0.53893,                 1.1275,                0.89167,                 1.0593,              0.0003095,              0.0003095,              0.0003095
                     59,                0.82438,                0.79602,                0.97732,                0.88149,                0.71948,                0.80801,                0.54482,                 1.1064,                0.88937,                 1.0516,               0.000293,               0.000293,               0.000293
                     60,                0.79814,                0.78991,                 0.9826,                0.86033,                0.72633,                0.82062,                0.55842,                 1.0813,                0.87777,                  1.039,              0.0002765,              0.0002765,              0.0002765
                     61,                0.81401,                0.81899,                0.99623,                0.79869,                0.78075,                0.81769,                0.56817,                 1.0717,                0.87456,                 1.0265,                0.00026,                0.00026,                0.00026
                     62,                0.79361,                0.79844,                 0.9859,                 0.8311,                0.76957,                0.82194,                0.56169,                 1.0687,                0.87116,                 1.0203,              0.0002435,              0.0002435,              0.0002435
                     63,                0.82339,                0.80405,                0.99279,                0.79242,                0.80259,                0.82112,                0.56217,                 1.0751,                0.87627,                 1.0239,               0.000227,               0.000227,               0.000227
                     64,                0.80119,                0.78046,                0.98565,                0.80344,                0.79452,                0.82261,                 0.5675,                 1.0741,                0.88572,                 1.0272,              0.0002105,              0.0002105,              0.0002105
                     65,                 0.7993,                0.78714,                0.96889,                 0.8054,                0.78476,                0.82593,                0.57147,                 1.0726,                0.89079,                 1.0302,               0.000194,               0.000194,               0.000194
                     66,                0.87525,                0.96451,                0.99397,                0.87703,                0.74716,                0.82853,                0.57496,                 1.0686,                0.89508,                 1.0287,              0.0001775,              0.0001775,              0.0001775
                     67,                0.86773,                0.93355,                 1.0047,                0.87272,                0.75335,                0.83203,                0.57708,                 1.0516,                0.89752,                 1.0209,               0.000161,               0.000161,               0.000161
                     68,                0.84699,                0.88314,                 0.9798,                0.88475,                0.75572,                0.83683,                 0.5799,                 1.0441,                0.93143,                 1.0119,              0.0001445,              0.0001445,              0.0001445
